genre,season,capacity,ticket_price,marketing_spend,run_length_weeks,cast_popularity,is_musical,has_celebrity,prior_show_avg_rating,tickets_sold,total_revenue,sold_out
Drama,Summer,1887,241.82,329543.07,18,8.23,0,1,5.45,208011,50301220.02,0
Experimental,Spring,1694,230.08,120418.13,5,3.71,0,0,2.22,25269,5813891.52,0
Tragedy,Summer,722,243.9,288543.13,6,7.7,0,1,2.82,21371,5212386.9,0
Experimental,Winter,1671,249.31,489812.27,18,2.25,0,0,3.67,104079,25947935.49,0
Drama,Winter,942,175.71,161401.1,23,7.75,0,1,4.63,162165,28494012.15,1
Tragedy,Fall,231,126.63,22297.42,8,8.93,0,1,6.33,11093,1404706.59,0
Thriller,Winter,1565,216.42,75697.19,16,9.1,0,1,9.68,191629,41472348.18,1
Tragedy,Winter,1703,30.36,64064.39,4,2.05,0,0,3.36,27308,829070.88,0
Tragedy,Fall,818,212.74,234325.35,5,8.47,0,0,3.96,21290,4529234.6,0
Drama,Winter,1011,136.89,373602.03,19,1.99,0,0,1.22,97782,13385377.98,0
Comedy,Spring,855,176.47,151739.97,18,5.31,0,0,4.35,85096,15016891.12,0
Drama,Winter,410,109.16,77192.17,24,7.14,0,0,7.08,70678,7715210.48,1
Comedy,Summer,1990,107.94,322179.55,29,5.36,0,1,9.67,457063,49335380.22,1
Thriller,Fall,240,32.14,154084.2,7,4.06,0,1,7.66,13305,427622.7,1
Thriller,Winter,1200,120.35,289709.32,12,7.15,0,1,2.06,114048,13725676.8,1
Thriller,Summer,226,116.88,467224.35,27,6.95,0,1,9.01,48327,5648459.76,1
Comedy,Spring,1440,75.58,149216.74,3,6.25,0,0,8.55,34214,2585894.12,1
Experimental,Summer,1821,80.65,258683.35,26,5.76,0,0,2.7,220926,17817681.9,0
Musical,Summer,1358,156.43,404371.9,30,7.35,1,1,9.41,322660,50473703.8,1
Comedy,Winter,1291,96.5,347400.47,4,4.63,0,1,7.43,40898,3946657.0,1
Musical,Winter,1690,211.81,376981.7,6,1.62,1,0,8.05,78535,16634498.35,1
Comedy,Fall,1953,50.06,387421.84,22,5.84,0,1,5.13,340290,17034917.4,1
Experimental,Winter,1751,154.97,272258.43,16,7.51,0,1,2.81,147003,22781054.91,0
Comedy,Summer,616,61.01,270350.74,31,3.69,0,1,8.19,151240,9227152.4,1
Experimental,Summer,1213,143.85,360850.34,18,2.27,0,0,5.3,70745,10176668.25,0
Tragedy,Winter,1673,149.32,350335.89,21,9.21,0,1,9.71,278253,41548737.96,1
Thriller,Fall,730,169.52,336678.54,9,8.77,0,1,2.38,52034,8820803.68,1
Tragedy,Fall,1415,121.17,194156.67,11,6.57,0,0,4.2,89585,10855014.45,0
Drama,Summer,241,139.63,415128.61,7,8.08,0,1,7.62,13361,1865596.43,1
Family,Fall,1779,65.71,121920.43,6,9.72,0,1,6.15,84538,5554991.98,1
Experimental,Winter,1305,129.18,82087.32,5,6.12,0,0,4.9,23242,3002401.56,0
Drama,Summer,1537,108.93,175855.3,28,3.2,0,0,7.31,197130,21473370.9,0
Family,Spring,1685,174.88,130646.46,4,6.75,0,1,7.6,52279,9142551.52,1
Drama,Spring,593,122.83,333275.34,17,9.23,0,1,6.2,79841,9806870.03,1
Family,Spring,1010,200.35,119353.84,17,7.21,0,0,3.87,108653,21768628.55,0
Family,Summer,1745,120.85,329962.47,3,1.24,0,0,6.57,29446,3558549.1,0
Tragedy,Fall,496,78.05,259045.28,27,9.25,0,1,5.91,105436,8229279.8,1
Family,Winter,1680,86.58,80462.78,17,7.78,0,1,8.18,226195,19583963.1,1
Drama,Spring,718,35.19,132906.15,5,4.62,0,1,6.88,24406,858847.14,0
Musical,Winter,1235,146.48,263254.76,5,9.89,1,1,5.47,48906,7163750.88,1
Musical,Fall,1117,211.95,367887.13,23,7.5,1,1,1.17,203472,43125890.4,1
Tragedy,Spring,1435,198.05,202134.56,20,8.43,0,1,2.5,159622,31613137.1,0
Experimental,Summer,1706,123.5,120252.16,14,9.49,0,1,4.03,104136,12860796.0,0
Musical,Summer,828,69.13,151063.71,14,1.36,1,0,6.41,73506,5081469.78,0
Tragedy,Winter,509,219.28,52083.01,3,7.97,0,1,8.13,9578,2100263.84,0
Thriller,Winter,961,37.78,17449.0,2,4.48,0,1,9.64,15222,575087.16,1
Drama,Winter,1301,114.83,486699.01,18,8.82,0,1,6.4,185470,21297520.1,1
Family,Fall,1550,217.74,52722.92,12,8.91,0,0,7.56,129220,28136362.8,0
Comedy,Summer,1556,113.46,66819.24,9,8.46,0,0,6.59,88248,10012618.08,0
Family,Summer,811,51.52,436127.22,13,8.01,0,1,4.87,83500,4301920.0,1
Thriller,Winter,1884,84.84,333435.09,20,8.15,0,0,6.49,298425,25318377.0,1
Tragedy,Spring,349,160.01,220855.9,10,3.67,0,0,4.61,11969,1915159.69,0
Drama,Summer,410,59.21,326266.59,12,4.66,0,1,5.08,36538,2163414.98,1
Tragedy,Spring,244,172.36,467817.49,10,2.04,0,0,9.2,14540,2506114.4,0
Family,Summer,1867,123.59,54191.77,21,8.48,0,1,6.07,310470,38370987.3,1
Musical,Summer,524,100.24,125636.96,3,6.81,1,1,1.9,12450,1247988.0,1
Family,Spring,1282,79.21,430848.7,29,6.51,0,1,5.71,294449,23323305.29,1
Tragedy,Summer,1663,210.25,391416.48,18,3.21,0,1,9.58,151159,31781179.75,0
Family,Winter,1580,114.25,497157.08,9,6.54,0,0,1.9,112622,12867063.5,1
Thriller,Fall,1907,191.16,160384.86,24,5.09,0,0,9.74,300827,57506089.32,0
Tragedy,Winter,296,124.08,472718.77,30,9.96,0,1,9.89,70329,8726422.32,1
Comedy,Winter,932,45.67,175125.97,3,8.77,0,1,6.05,22144,1011316.48,1
Thriller,Winter,1111,124.11,358971.13,8,5.73,0,0,3.99,65156,8086511.16,1
Musical,Summer,1453,139.23,441957.76,6,8.28,1,0,1.08,69046,9613274.58,1
Thriller,Winter,1320,128.01,89537.14,4,2.48,0,0,1.14,21869,2799450.69,0
Musical,Winter,1207,208.65,106791.13,24,1.91,1,0,4.49,97334,20308739.1,0
Thriller,Winter,752,229.94,292574.53,7,6.68,0,1,8.05,36225,8329576.5,0
Thriller,Summer,391,202.03,422693.26,13,7.54,0,1,9.48,40257,8133121.71,1
Musical,Spring,976,156.13,44080.02,26,1.48,1,0,2.39,82100,12818273.0,0
Family,Fall,667,146.83,426186.0,20,2.81,0,0,5.39,105652,15512883.16,1
Comedy,Winter,1197,170.04,174844.66,22,5.84,0,0,5.52,198195,33701077.8,1
Family,Winter,1634,89.76,206082.17,4,1.57,0,1,4.42,46335,4159029.6,1
Musical,Fall,1194,207.67,173231.24,31,4.82,1,0,5.86,206030,42786250.1,0
Drama,Spring,1249,217.79,456182.55,4,5.34,0,0,9.33,35123,7649438.17,0
Tragedy,Summer,275,85.12,69743.19,23,9.3,0,1,4.95,33929,2888036.48,0
Drama,Fall,1360,228.13,289265.87,21,3.84,0,0,2.24,121735,27771405.55,0
Comedy,Fall,991,215.96,78313.5,14,2.52,0,0,6.99,60897,13151316.12,0
Thriller,Summer,422,120.51,464654.34,27,1.07,0,0,1.28,60520,7293265.2,0
Drama,Summer,584,229.53,399976.0,28,2.09,0,1,9.46,95790,21986678.7,0
Thriller,Spring,1605,52.1,120740.54,4,7.76,0,1,9.46,50846,2649076.6,1
Musical,Summer,1850,31.3,152400.24,30,5.0,1,1,1.83,439560,13758228.0,1
Drama,Fall,1113,103.27,193850.09,9,2.79,0,0,5.96,55509,5732414.43,0
Thriller,Spring,1957,152.22,205681.75,25,9.4,0,1,8.18,387486,58983118.92,1
Family,Winter,524,104.07,409584.72,26,8.09,0,1,5.18,107902,11229361.14,1
Drama,Spring,739,236.97,284444.01,18,2.03,0,1,5.31,70328,16665626.16,0
Comedy,Fall,1874,82.31,216834.91,27,3.42,0,0,9.73,400736,32984580.16,1
Experimental,Summer,515,88.27,361125.11,26,8.64,0,0,3.07,57857,5107037.39,0
Experimental,Winter,1386,167.84,231643.11,17,7.23,0,1,5.74,119105,19990583.2,0
Thriller,Winter,595,25.87,68478.81,7,9.51,0,1,2.03,32986,853347.82,1
Tragedy,Fall,796,188.7,58207.15,15,1.69,0,0,3.72,23895,4508986.5,0
Comedy,Fall,1059,109.93,166348.56,29,7.98,0,0,8.66,243231,26738383.83,1
Thriller,Fall,847,244.99,303420.77,8,1.69,0,0,7.45,35153,8612133.47,0
Thriller,Fall,1774,180.57,71746.46,31,4.03,0,0,6.51,253745,45818734.65,0
Comedy,Spring,1951,36.75,277316.41,7,7.76,0,0,2.02,108163,3974990.25,1
Musical,Summer,1100,45.84,138456.77,21,7.4,1,1,8.66,182952,8386519.68,1
Drama,Spring,1145,44.84,349229.64,21,1.02,0,0,3.68,129067,5787364.28,0
Experimental,Summer,299,239.34,18990.04,7,2.82,0,0,5.81,2887,690974.58,0
Comedy,Fall,621,178.91,237166.6,16,8.01,0,1,3.1,74719,13367976.29,1
Tragedy,Spring,271,121.21,30870.75,6,2.14,0,0,5.69,5243,635504.03,0
Tragedy,Spring,1741,70.11,168601.35,12,3.94,0,0,6.06,92751,6502772.61,0
Family,Winter,609,221.57,12709.7,30,2.66,0,0,4.06,58375,12934148.75,0
Musical,Summer,813,70.35,237203.89,3,2.0,1,0,5.55,17904,1259546.4,1
Musical,Spring,1716,184.0,384672.85,28,8.53,1,0,4.65,380540,70019360.0,1
Drama,Fall,1483,196.75,54608.92,22,1.55,0,0,7.28,90977,17899724.75,0
Tragedy,Fall,1318,91.3,368935.23,24,5.82,0,0,5.9,201663,18411831.9,0
Thriller,Winter,269,138.61,294176.66,10,7.23,0,1,8.9,21304,2952947.44,1
Tragedy,Winter,1213,75.17,254779.61,30,1.52,0,1,1.45,199944,15029790.48,0
Tragedy,Winter,1209,110.26,301744.21,9,6.7,0,1,1.24,67861,7482353.86,0
Experimental,Fall,774,242.16,171269.08,17,4.01,0,0,2.7,28099,6804453.84,0
Drama,Summer,1540,180.96,356618.08,3,8.5,0,1,2.07,30807,5574834.72,0
Thriller,Winter,1872,215.49,390934.59,28,8.18,0,0,5.73,374600,80722554.0,1
Tragedy,Summer,666,146.63,390220.81,23,8.15,0,1,2.8,97064,14232494.32,0
Tragedy,Summer,796,78.78,138382.6,6,4.59,0,0,1.14,20403,1607348.34,0
Family,Winter,780,185.4,328683.97,21,8.4,0,1,3.54,129729,24051756.6,1
Drama,Winter,1702,137.63,78307.38,7,6.67,0,0,5.58,62170,8556457.1,0
Experimental,Summer,339,64.79,250232.71,15,4.41,0,1,7.43,28006,1814508.74,0
Comedy,Fall,1812,117.8,6301.48,17,1.73,0,0,4.95,132593,15619455.4,0
Tragedy,Winter,1595,167.84,100825.45,29,1.6,0,0,9.66,201925,33891092.0,0
Tragedy,Winter,1070,190.45,317708.39,11,3.26,0,0,2.8,42900,8170305.0,0
Family,Spring,1250,79.72,437808.95,2,3.7,0,1,5.63,19800,1578456.0,1
Tragedy,Fall,1809,222.1,29269.01,14,9.35,0,1,3.28,122488,27204584.8,0
Drama,Spring,1585,110.4,281483.63,29,10.0,0,1,8.26,364042,40190236.8,1
Musical,Winter,698,86.01,320203.63,25,2.29,1,0,2.69,130712,11242539.12,1
Comedy,Spring,290,68.9,466533.54,3,9.48,0,1,9.65,6890,474721.0,1
Family,Winter,1385,205.94,329296.18,3,7.36,0,1,7.45,32907,6776867.58,1
Musical,Spring,462,104.69,56001.19,24,5.49,1,0,6.01,74283,7776687.27,0
Experimental,Summer,358,133.76,77638.4,23,9.59,0,1,5.79,35686,4773359.36,0
Tragedy,Spring,1968,75.13,319703.24,18,7.42,0,1,4.26,260374,19561898.62,1
Musical,Winter,1053,179.37,111731.74,4,6.34,1,0,1.19,20745,3721030.65,0
